,Fold Number,Epoch,Binary Cross-Entropy Loss,Accuracy,AUC,Precision,Recall,Validation Loss,Validation Accuracy,Validation Recall,Validation Precision,Validation AUC
0,1.0,1.0,0.41531509160995483,0.825884222984314,0.7361419200897217,0.48643216490745544,0.13896065950393677,0.35560688376426697,0.840624988079071,0.15762273967266083,0.6630434989929199,0.8242894411087036
1,1.0,2.0,0.34172308444976807,0.8468177914619446,0.8405526280403137,0.6840633749961853,0.21073786914348602,0.34758418798446655,0.8441964387893677,0.20930232107639313,0.6532257795333862,0.8318272829055786
2,1.0,3.0,0.3341161608695984,0.8519768118858337,0.8479803800582886,0.704006552696228,0.24720068275928497,0.3429224491119385,0.8464285731315613,0.21705426275730133,0.671999990940094,0.8391162753105164
3,1.0,4.0,0.33084991574287415,0.8523240089416504,0.8516983985900879,0.6979655623435974,0.2561010718345642,0.3410823941230774,0.8446428775787354,0.2532299757003784,0.6242038011550903,0.8419163823127747
4,1.0,5.0,0.32825949788093567,0.8531672954559326,0.8547093272209167,0.6918562054634094,0.27074360847473145,0.340034157037735,0.8464285731315613,0.25581395626068115,0.6387096643447876,0.8424379825592041
5,1.0,6.0,0.326496958732605,0.8542090654373169,0.8563768863677979,0.702080249786377,0.27131783962249756,0.3405928313732147,0.8428571224212646,0.22739018499851227,0.6241135001182556,0.8406076431274414
6,1.0,7.0,0.32514363527297974,0.8541098237037659,0.8575330972671509,0.6966618299484253,0.27562445402145386,0.33936038613319397,0.8459821343421936,0.27131783962249756,0.625,0.8432048559188843
7,1.0,8.0,0.3241386413574219,0.8543082475662231,0.8592087626457214,0.6867305040359497,0.2882572412490845,0.33969587087631226,0.8482142686843872,0.28423771262168884,0.6358381509780884,0.842313826084137
8,1.0,9.0,0.3234679698944092,0.8546058535575867,0.8597950339317322,0.689821183681488,0.2879701554775238,0.34044578671455383,0.8473214507102966,0.27906978130340576,0.6315789222717285,0.8410956859588623
9,1.0,10.0,0.3227629065513611,0.8554987907409668,0.8597873449325562,0.6920484900474548,0.29486075043678284,0.3413061201572418,0.8477678298950195,0.26356589794158936,0.6455696225166321,0.8417030572891235
10,1.0,11.0,0.32262274622917175,0.8552507758140564,0.8604986667633057,0.6941580772399902,0.2899799048900604,0.33988866209983826,0.8486607074737549,0.27131783962249756,0.6481481194496155,0.8434677124023438
11,1.0,12.0,0.3217122554779053,0.8558956384658813,0.861523449420929,0.692923903465271,0.2980189621448517,0.3416527807712555,0.8486607074737549,0.33591732382774353,0.6132075190544128,0.8424407243728638
12,1.0,13.0,0.3210025727748871,0.8550027012825012,0.8619177937507629,0.6797176003456116,0.30404824018478394,0.34072545170783997,0.8477678298950195,0.2532299757003784,0.653333306312561,0.8426352143287659
13,1.0,14.0,0.32019031047821045,0.8559948205947876,0.8628172874450684,0.6892950534820557,0.30318689346313477,0.3409939110279083,0.8477678298950195,0.2816537320613861,0.6337209343910217,0.8412519693374634
14,1.0,15.0,0.3193531036376953,0.8560444712638855,0.8640080690383911,0.6858605146408081,0.3077806532382965,0.34385016560554504,0.8500000238418579,0.27906978130340576,0.6545454263687134,0.8406319618225098
15,1.0,16.0,0.3189377784729004,0.8559452295303345,0.8644182085990906,0.677498459815979,0.3172552287578583,0.33805352449417114,0.8477678298950195,0.2816537320613861,0.6337209343910217,0.8429413437843323
16,1.0,17.0,0.3182583749294281,0.8565900921821594,0.8651301860809326,0.6847690343856812,0.3149583637714386,0.33914923667907715,0.8513392806053162,0.30749353766441345,0.64673912525177,0.8425180912017822
17,1.0,18.0,0.3180292546749115,0.8572349548339844,0.864923894405365,0.6866132020950317,0.31955212354660034,0.3415583670139313,0.8513392806053162,0.302325576543808,0.6499999761581421,0.8408509492874146
18,1.0,19.0,0.3176678419113159,0.8561932444572449,0.8655847907066345,0.6763284802436829,0.32156187295913696,0.3377750813961029,0.8513392806053162,0.302325576543808,0.6499999761581421,0.8431490659713745
19,1.0,20.0,0.3168589472770691,0.8580783009529114,0.8665587902069092,0.6924505233764648,0.3212747573852539,0.33887797594070435,0.8508928418159485,0.33591732382774353,0.6280193328857422,0.8426302671432495
20,1.0,21.0,0.3163928985595703,0.8576318025588989,0.8664926290512085,0.6856450438499451,0.3250071704387665,0.33865246176719666,0.8464285731315613,0.3100775182247162,0.6091370582580566,0.8437291383743286
21,1.0,22.0,0.31713587045669556,0.8571357727050781,0.8657726645469666,0.6848559379577637,0.3207005560398102,0.3419853448867798,0.8473214507102966,0.29974159598350525,0.6203208565711975,0.8404619097709656
22,1.0,23.0,0.31604406237602234,0.8572349548339844,0.8671034574508667,0.6856967210769653,0.3207005560398102,0.33971068263053894,0.8500000238418579,0.30749353766441345,0.6363636255264282,0.842618465423584
23,1.0,24.0,0.3157728612422943,0.8577806353569031,0.8673637509346008,0.6894218921661377,0.32184898853302,0.3404572904109955,0.8464285731315613,0.29974159598350525,0.6137565970420837,0.841598391532898
24,1.0,25.0,0.3152002990245819,0.8576318025588989,0.8676356077194214,0.6886153817176819,0.3212747573852539,0.340442031621933,0.8491071462631226,0.2971576154232025,0.6353591084480286,0.8421220779418945
25,1.0,26.0,0.31494539976119995,0.8576814532279968,0.8681715130805969,0.689039409160614,0.3212747573852539,0.3404628336429596,0.8473214507102966,0.33074936270713806,0.6066350936889648,0.8429169058799744
26,1.0,27.0,0.3147081434726715,0.8577806353569031,0.8684835433959961,0.6864407062530518,0.3255814015865326,0.3404223322868347,0.8500000238418579,0.3255814015865326,0.6268656849861145,0.8410148620605469
27,1.0,28.0,0.31458988785743713,0.8576814532279968,0.8683656454086304,0.6776620149612427,0.3362044095993042,0.3417893648147583,0.8500000238418579,0.29974159598350525,0.6408839821815491,0.8401070237159729
28,1.0,29.0,0.31383219361305237,0.8581774830818176,0.8695977926254272,0.6890909075737,0.3264427185058594,0.34018659591674805,0.8495535850524902,0.3126614987850189,0.6302083134651184,0.8405532836914062
29,1.0,30.0,0.31432172656059265,0.8572846055030823,0.8690377473831177,0.6840826272964478,0.3232845366001129,0.34269508719444275,0.8433035612106323,0.33074936270713806,0.581818163394928,0.8404228687286377
