,latitude,longitude,max_elev_change,median_elev,mean_elev,mean_median_diff,total_elev,median_elev_change,mean_elev_change,total_elev_change,Precip_30_min_before,Precip_60_min_before,Precip_90_min_before,Precip_120_min_before,fire_<=1_year_before,fire_<=3_year_before,fire_<=5_year_before
1,0.1734716268472642,-0.2185741812664252,0.016791611390924836,-0.13682527171623218,-0.262327926731909,0.19077323381406028,-0.262327926731929,-0.04901329880726333,0.06769326506456619,0.838661387744443,0.27471898129495187,-0.06038778598406939,0.1762328903780675,0.19421459291095589,-0.037367613277700294,0.036461933700267055,0.015628296983920546
2,0.1638852069588931,-0.22133006429804777,-0.007529514252388062,0.0,-0.3321307774819187,0.19996518719892153,-0.33213077748205855,-0.04904375294762596,0.04338191475407501,0.8497515344626392,0.27684820812862854,-0.0379780107893645,0.13162790842377495,0.20882303733564517,-0.04157289153378771,0.04073876045810969,0.006615455485791793
3,0.17981690903074043,-0.21561680658122861,0.034111140797973755,0.0,-0.3367359890079362,0.20537951076034516,-0.3367359890080654,-0.03965090697297907,0.05178233105373353,0.8226438780917785,0.27012497690650894,-0.054221399092620456,0.15555528350717543,0.20738464923701191,-0.054567265234923334,0.04582956015434751,0.0004887296937115554
4,0.18196799937990343,-0.21581643954284757,0.05835649050169086,-0.043600200128919395,-0.30965371585879237,0.18751262361278784,-0.30965371585865187,-0.04348045888764926,0.057636452159480975,0.7893794625529116,0.24661962137147939,-0.029008014907917146,0.13700438553969485,0.2235892359781984,-0.03880371700022872,0.02103587370881305,0.020870102008439553
5,0.17128554321949968,-0.2294433347543349,0.004160870290994147,-0.05737084454495586,-0.3031806071774577,0.1964394439819451,-0.3031806071776283,-0.06570790889187936,0.08099234833917539,0.827725026090797,0.2827226804385284,-0.06588171561985495,0.16062533207979315,0.20390349153970744,-0.042085544719525254,0.004012362789918481,0.04483566339050537
6,0.17373025049711113,-0.2118149436005848,0.014187702814495148,-0.01705776541119638,-0.33016061182156353,0.204591634861572,-0.33016061182141815,-0.025739741671791678,0.039629541401959414,0.8425768507613853,0.26341213858492685,-0.03243162718557416,0.18505400417168785,0.18316841076776585,-0.06388889657235683,0.06098644346040859,0.009000410839618618
7,0.18477174522170642,-0.2244483646813401,0.027160305339819193,0.0,-0.331726788236463,0.19518478746809492,-0.33172678823670754,-0.04435975405914702,0.05633106153117536,0.8177922973428676,0.2918956253871125,-0.07034140206039881,0.17044895283162861,0.19208048767792374,-0.020814233283736,0.01439000866840638,0.022156572411905814
8,0.1647661422110448,-0.22590385386136805,0.02508081082430395,-0.06136342388631062,-0.3025555596531708,0.19085872033069678,-0.3025555596532087,-0.04564158097592786,0.07190870261168596,0.8288373922130188,0.2441942153530936,-0.04489305151316651,0.16943897779010264,0.19159717191983297,-0.05595748991959318,0.036789582834078065,0.01882231039334438
9,0.16682035277848725,-0.2120039853679367,0.00888937070263742,-0.024864348793544756,-0.3202331979478402,0.2045812970460453,-0.32023319794837807,-0.04685137813403521,0.05234355925019091,0.8438936888109381,0.27397395256861506,-0.0516122137030082,0.15230638412799646,0.21499112725778644,-0.052903393867409346,0.02907486269312497,0.02883081266960015
10,0.17906246450187618,-0.23426593153053973,0.0,-0.38391894901480933,-0.13773227872130087,0.17898096934837088,-0.13773227872120092,-0.07668481931484565,0.083376526183079,0.8438705401965351,0.26541556278380213,-0.059323847597147414,0.13616967290429716,0.2313077163477109,-0.04810020677004783,0.03912141724851503,0.01932985361422416
avg,0.17395782406465266,-0.22092179054846534,0.018120878841045126,-0.07250008034959685,-0.29664374526383525,0.19542674084228395,-0.2966437452639247,-0.04861736006631444,0.06050757023491218,0.8305132058267315,0.2689925962817647,-0.05060790684531215,0.15744637917542187,0.20510599209725386,-0.04560612521793085,0.032844080571598884,0.018657820749106192
