,latitude,longitude,max_elev_change,median_elev,mean_elev,mean_median_diff,total_elev,median_elev_change,mean_elev_change,total_elev_change,Precip_30_min_before,Precip_60_min_before,Precip_90_min_before,Precip_120_min_before,fire_<=1_year_before,fire_<=3_year_before,fire_<=5_year_before
0,0.041927509009838104,0.14019575715065002,0.04379816725850105,0.04644005745649338,0.06446728855371475,0.030891025438904762,0.0,0.032940011471509933,0.023103030398488045,0.19199611246585846,0.0893431305885315,0.04800040274858475,0.0797409638762474,0.10150934010744095,0.015808744356036186,0.02405882254242897,0.025779591873288155
1,0.04126821085810661,0.1313336342573166,0.03819948807358742,0.06508949398994446,0.060762759298086166,0.03447216749191284,0.0,0.03528568148612976,0.02263139933347702,0.2246972769498825,0.07449140399694443,0.039413467049598694,0.10775130242109299,0.0957617238163948,0.0,0.0,0.028841912746429443
2,0.04161650687456131,0.15560393035411835,0.03902164474129677,0.06177196279168129,0.06360835582017899,0.0372418649494648,0.0,0.021791920065879822,0.025813471525907516,0.19948948919773102,0.09611016511917114,0.06961894035339355,0.04978945478796959,0.07812381535768509,0.03180047497153282,0.015923915430903435,0.012674129568040371
3,0.042700108140707016,0.13246767222881317,0.04448075219988823,0.042015329003334045,0.06038502976298332,0.034044235944747925,0.0,0.02702486701309681,0.021907133981585503,0.22141039371490479,0.07033593207597733,0.03693332523107529,0.1103796437382698,0.08020149171352386,0.04587019234895706,0.00940762460231781,0.02043626829981804
4,0.03997530788183212,0.14843042194843292,0.04071389511227608,0.0491323322057724,0.06573734432458878,0.03716167062520981,0.0,0.022666096687316895,0.024921026080846786,0.1893347054719925,0.06541451066732407,0.046482592821121216,0.09653820842504501,0.09201788902282715,0.02781565487384796,0.0,0.05365835875272751
5,0.04262228682637215,0.13718509674072266,0.04452228918671608,0.06243773177266121,0.0622294656932354,0.032643552869558334,0.0,0.026277488097548485,0.025643104687333107,0.19948656857013702,0.09294672310352325,0.044967103749513626,0.07111939787864685,0.080598384141922,0.03867105767130852,0.03864981606602669,0.0
6,0.0478224940598011,0.14631612598896027,0.04704328998923302,0.051722150295972824,0.06764794141054153,0.03409780561923981,0.0,0.03318406641483307,0.0196769367903471,0.19110164046287537,0.10558054596185684,0.03404215723276138,0.08245459944009781,0.09623276442289352,0.0,0.0,0.04307744652032852
7,0.04920070245862007,0.15132099390029907,0.045841701328754425,0.03807329013943672,0.06835905462503433,0.0318465456366539,0.0,0.02824045903980732,0.02691463567316532,0.20744392275810242,0.0777476355433464,0.04154074564576149,0.11264865100383759,0.0795324519276619,0.0,0.02174246311187744,0.019546840339899063
8,0.041824642568826675,0.14034904539585114,0.044785622507333755,0.059697225689888,0.05636634677648544,0.0323791429400444,0.0,0.026793507859110832,0.02219260297715664,0.20522341132164001,0.05907855182886124,0.06315536051988602,0.09757334738969803,0.08806931972503662,0.0,0.0,0.0625118762254715
9,0.03935956954956055,0.15821610391139984,0.0389588288962841,0.06227293238043785,0.058243528008461,0.03733358159661293,0.0,0.023760365322232246,0.023342767730355263,0.19183973968029022,0.10850790143013,0.06634540855884552,0.07342042773962021,0.061659250408411026,0.01767691597342491,0.02386304922401905,0.015199526213109493
avg,0.04283173382282257,0.1441418781876564,0.04273656792938709,0.053865250572562216,0.06278071142733097,0.03421115931123495,0.0,0.027796446345746517,0.02361461091786623,0.20220232605934144,0.08395565003156662,0.049049950391054156,0.08814159967005253,0.08537064306437969,0.017764304019510745,0.01336456909775734,0.02817259505391121
